"snapshot_date","channel","provider","model","region","pricing_unit","quality_resolution","usd_per_unit","cny_per_unit","usd_per_1000_units","cny_per_1000_units","extra_cost","confidence","source_url","notes"
"2026-09-10","aggregator","Together AI","SDXL","global","per megapixel","default","0.0019","0.0128","1.9","12.81","","high","https://www.together.ai/pricing","1000-unit figure means 1000 MP"
"2026-09-10","aggregator","Together AI","FLUX.1 Schnell","global","per megapixel","default","0.0027","0.0182","2.7","18.20","","high","https://www.together.ai/pricing","1000-unit figure means 1000 MP"
"2026-09-10","aggregator","Together AI","Qwen Image","global","per megapixel","default","0.0058","0.0391","5.8","39.09","","high","https://www.together.ai/pricing","1000-unit figure means 1000 MP"
"2026-09-10","aggregator","Together AI","FLUX.2 Dev","global","per image starting price","lowest listed size","0.0154","0.1038","15.4","103.80","size-dependent","high","https://www.together.ai/pricing",""
"2026-09-10","aggregator","Together AI","FLUX.2 Pro","global","per image starting price","lowest listed size","0.03","0.2022","30","202.20","size-dependent","high","https://www.together.ai/pricing",""
"2026-09-10","aggregator","Together AI","Imagen 4 Fast","global","per image","default","0.02","0.1348","20","134.80","","high","https://www.together.ai/pricing",""
"2026-09-10","aggregator","Together AI","Seedream 4.0","global","per image starting price","lowest listed size","0.03","0.2022","30","202.20","size-dependent","high","https://www.together.ai/pricing",""
"2026-09-10","aggregator","Together AI","GPT Image 1.5","global","per image","medium","0.034","0.2292","34","229.16","input may be extra","high","https://www.together.ai/pricing",""
"2026-09-10","aggregator","Together AI","Nano Banana 2","global","per image starting price","lowest listed size","0.05","0.3370","50","337.00","input may be extra","high","https://www.together.ai/pricing",""
"2026-09-10","aggregator","Replicate","FLUX Schnell","global","per image","default","0.003","0.0202","3","20.22","","high","https://replicate.com/pricing","Official-model price"
"2026-09-10","aggregator","Replicate","FLUX Dev","global","per image","default","0.025","0.1685","25","168.50","","high","https://replicate.com/pricing","Official-model price"
"2026-09-10","aggregator","Replicate","FLUX 1.1 Pro","global","per image","default","0.04","0.2696","40","269.60","","high","https://replicate.com/pricing","Official-model price"
"2026-09-10","aggregator","fal","FLUX Schnell","global","per megapixel","default","0.003","0.0202","3","20.22","successful output billing","high","https://fal.ai/explore/text-to-image-apis","1000-unit figure means 1000 MP"
"2026-09-10","aggregator","fal","Seedream 5 Lite","global","per image","default","0.035","0.2359","35","235.90","","high","https://fal.ai/explore/text-to-image-apis",""
"2026-09-10","aggregator","fal","Nano Banana 2","global","per image","1K","0.08","0.5392","80","539.20","grounding/thinking can add cost","high","https://fal.ai/explore/text-to-image-apis","2K 1.5x; 4K 2x"
"2026-09-10","aggregator","WaveSpeedAI","Seedream 4","global","per run starting price","parameter-dependent","0.027","0.1820","27","181.98","","medium","https://wavespeed.ai/models/bytedance/seedream-v4","Outputs retained 7 days"
"2026-09-10","aggregator","WaveSpeedAI","Nano Banana Pro","global","per run starting price","parameter-dependent","0.07","0.4718","70","471.80","","medium","https://wavespeed.ai/nano-banana-pro-api",""
"2026-09-10","aggregator","SiliconFlow International","FLUX.1 Schnell","global","per image","default","0.0014","0.0094","1.4","9.44","","medium","https://www.siliconflow.com/en/pricing","International page may lag current catalog; verify at checkout"
"2026-09-10","relay_observed","ciyuanapis.xyz / aiaizz.com / apilio.ai","Nano Banana 2","unknown","per image","unspecified benchmark tier","0.015","0.1011","15","101.10","model/version mapping unverified","low","https://compute.sinanlab.com/media/nano-banana","Third-party observed floor; not upstream-authenticated"
"2026-09-10","relay_observed","token173.com / token173.net","Seedream","unknown","per image","version unspecified","0.014","0.0944","14","94.36","resolution/version unverified","low","https://compute.sinanlab.com/rank/2026-w37","Third-party weekly ranking"
"2026-09-10","relay_observed","infai.cc / token173","Qwen Image","unknown","per image","version unspecified","0.014","0.0944","14","94.36","resolution/version unverified","low","https://compute.sinanlab.com/rank/2026-w37","Observed range $0.014-$0.017"
"2026-09-10","relay_observed","apilio.ai","Nano Banana 2","unknown","per image","1K or 2K claimed","0.015","0.1011","15","101.10","upstream unverified","low","https://compute.sinanlab.com/s/apilio.ai","683-model catalog; quote only"
"2026-09-10","relay_observed","apilio.ai","Nano Banana Pro","unknown","per image","1K or 2K claimed","0.03","0.2022","30","202.20","upstream unverified","low","https://compute.sinanlab.com/s/apilio.ai","4K observed $0.041"
"2026-09-10","relay_observed","apilio.ai","FLUX Schnell","unknown","per image","unspecified","0.001","0.0067","1","6.74","upstream and billing unit unverified","very low","https://compute.sinanlab.com/s/apilio.ai","Below plausibility floor"
"2026-09-10","relay_observed","magic666.top","Seedream 4.0","unknown","per image","unspecified","0.015","0.1011","15","101.10","resolution/upstream unverified","low","https://compute.sinanlab.com/s/magic666.top",""
"2026-09-10","relay_observed","magic666.top","Seedream 4.5","unknown","per image","unspecified","0.018","0.1213","18","121.32","resolution/upstream unverified","low","https://compute.sinanlab.com/s/magic666.top",""
"2026-09-10","relay_observed","magic666.top","Seedream 5.0","unknown","per image","unspecified","0.033","0.2224","33","222.42","resolution/upstream unverified","low","https://compute.sinanlab.com/s/magic666.top",""
"2026-09-10","relay_observed","kie.ai","Qwen Image 3.0","unknown","per image","unspecified","0.024","0.1618","24","161.76","upstream unverified","low","https://compute.sinanlab.com/s/kie.ai",""
"2026-09-10","relay_observed","kie.ai","FLUX.2 Pro","unknown","per image","unspecified","0.025","0.1685","25","168.50","upstream unverified","low","https://compute.sinanlab.com/s/kie.ai",""
"2026-09-10","relay_observed","kie.ai","Wan 2.7","unknown","per image","unspecified","0.024","0.1618","24","161.76","upstream unverified","low","https://compute.sinanlab.com/s/kie.ai",""
"2026-09-10","relay_observed","kie.ai","GPT Image 2 alias","unknown","per image","unspecified","0.03","0.2022","30","202.20","cannot map to official GPT Image 2.5","very low","https://compute.sinanlab.com/s/kie.ai","Custom alias; do not compare to OpenAI 2.5 token pricing"
"2026-09-10","relay_observed","byesu.com","Seedream 4.5","unknown","per image","unspecified","0.05","0.3370","50","337.00","upstream claim unverified","low","https://docs.byesu.com/models/seedream-4-5","Vendor claims official direct route"
"2026-09-10","subscription","Midjourney","Basic","global","per month","3.3 Fast GPU hours","10","67.40","","","extra GPU $4/hour","high","https://docs.midjourney.com/hc/en-us/articles/27870484040333-Comparing-Midjourney-Plans","No public per-image API pricing"
"2026-09-10","subscription","Midjourney","Standard","global","per month","15 Fast GPU hours; unlimited Relax images","30","202.20","","","extra GPU $4/hour","high","https://docs.midjourney.com/hc/en-us/articles/27870484040333-Comparing-Midjourney-Plans","No public per-image API pricing"
"2026-09-10","subscription","Adobe Firefly","Standard","global","per month","2000 credits; standard images unlimited","9.99","67.33","","","partner models use credits","high","https://www.adobe.com/products/firefly/plans.html","Consumer plan; not Firefly Services API price"
"2026-09-10","subscription","Adobe Firefly","Pro","global","per month","4000 credits; standard images unlimited","19.99","134.73","","","partner models use credits","high","https://www.adobe.com/products/firefly/plans.html","Consumer plan; not Firefly Services API price"
